Data;Lição;Tema
05/10/2025;1;O Homem - Corpo,Alma E Espírito
12/10/2025;2;O Corpo A Maravilhosa Obra - A Maravilhosa Obra Da,Maravilhosa Obra Da Criação De Deus
19/10/2025;3;O Corpo E - As,Do Pecado  -
26/10/2025;4;O Corpo Como - Templo,Espírito Santo -
02/11/2025;5;A Alma A Natureza - Imaterial,Ser Humano
09/11/2025;6;A - Consciência,Tribunal Interior
16/11/2025;7;Os Pensamentos A Arena De - Batalha,Vida Cristã
23/11/2025;8;Emoções E Sentimentos A - Batalha,Equilíbrio Interior
30/11/2025;9;Vontade O Que - Move,Ser Humano
07/12/2025;10;Espírito O - Âmago,Vida Humana
14/12/2025;11;O Espírito Humano - E,Disciplinas Cristãs
21/12/2025;12;O Espírito Humano E - O,De Deus
28/12/2025;13;Preparando O Corpo A Alma E O - Espírito,A Alma E O Espírito Para A Eternidade
04/01/2026;1;O mistério da Santíssima Trindade
11/01/2026;2;O Deus Pai
18/01/2026;3;O Pai enviou o Filho
25/01/2026;4;A Paternidade Divina
01/02/2026;5;O Deus Filho
08/02/2026;6;O Filho como o Verbo de Deus
15/02/2026;7;A Obra do Filho
22/02/2026;8;O Deus Espírito Santo
01/03/2026;9;Espírito Santo — O Regenerador
08/03/2026;10;Espírito Santo — O Capacitador
15/03/2026;11;O Pai e o Espírito Santo
22/03/2026;12;O Filho e o Espírito Santo
29/03/2026;13;A Trindade Santa e a Igreja de Cristo
